text,label
"ok saya akan buat balutan esok ikut paras kening, sekarang dia dah tidur lepas balut.",1
"macam itu juga dengan air, asyik nak suruh order chagee saja.",0
"sebelum masuk terapi merangkak pun tak boleh.",0
"both children have autism.",1
"harini ammar ada perarakan maulidur rasul di sekolah.",1
"salam puan, nak tanya. reza ini ada nampak apa-apa perubahan yang positif tak.",1
"sebelum masuk terapi merangkak pun tak boleh.",0
"hasilnya organ semua mendapat oksigen dan nutrisi yang cukup dan akan berlaku perkumuhan dan penyahintinjaan yang selesa.",1
"masalah sangat memilih makanan, tantrum, tumbuk kawan.",0
"rawatan terapi kerja ammar di hukm harini.",1
"selesai online therapy untuk aiman hakim dan habib.",1
"tengok ummar dah boleh kayuh basikal dalam bulatan kayuhan penuh.",2
"hopefully neurospa therapy will continue to be recognized and can help children with problems.",2
"tidur pun awal.",2
"dah boleh dikawal sedikit daripada sebelum ini, impulsif terkawal.",2
"sepanjang 5 sesi tu adeeb tak bagi kerjasama, takut, tak ada minat untuk bermain.",0
"sebelum masuk terapi merangkak pun tak boleh.",0
"dah pandai bergaul dengan rakan sebaya.",2
"thaqif balut setiap malam. 👍",2
"alhamdulillah setelah anak saya muhammad al fateh (2 tahun 10 bulan) mengikut 8 sesi terapi, banyak perubahan positif mula ditunjukkan.",2
"dah happy bila nak bermain.",2
"rasanya yang kedua masih mencabar.",0
"dia dah mula meroket semula ya.",2
"punya lama lah mama tunggu dia bye-bye.",1
"a lot of knowledge and awareness sharing by tuan.",2
"tak pernah buat macam tu, selalu tarik dengan nak sesuatu.",0
"berapa lama nampak improvement boleh berkomunikasi itu, puan.",1
"saya ambil keputusan untuk terapikan sekali abang dan kakak daniel.",2
"i can see the changes in rayyan in terms of less tantrums and he calms down easily.",2
"jenuh dah bersilat maknya baru nak sihat.",0
"kekadang boleh divert attention dia untuk lengkapkan sejam, adakala dia akan nangis sampai buka balutan, adakala pada masa awal-awal tu buka saja balutan bila dia nangis lama sangat.",0
"syukur alhamdulillah di atas perubahan positif ini.",2
"semalam saya hanya buat 1 jam untuk setiap kali pakai.",1
"terapi-terapi lepas-lepas dia hanya akan bertahan sejam.",0
"done terapi tengah malam. 😅",1
"sebelum ini saya berhentikan sekolah.",0
"yang kurang, masa urut dan balut masih perlu tengok handphone untuk duduk diam.",0
"salam maaf, terlepas untuk update.",1
"sebelum ini mainan yang diletak dalam bakul tak pernah dia memunggah, hanya main apabila diajak bermain bersama saja.",2
"perubahan banyak sangat.",2
"a great place for child therapy.",2
"sebelum ini tak nak makan nasi, asyik nak bubur.",0
"focused learning and good exam results.",2
"balutan hari ke-5.",1
"semua ini dapat bertahan dalam 30-40 minit, selepas itu, affan akan tak senang duduk dan suruh buka.",0
"thank god, my child has seen a lot of positive development after undergoing therapy at neurospa therapy.",2
"dah paham rutin dia setiap hari kena pergi sana.",2
"betul anak saya first time muntah semua lendir-lendir.",0
"hai, selamat malam. saya just nak share cerita anak saya.",1
"buat therapy sebab susah nak makan, tak nak makan langsung.",0
"hasilnya organ semua mendapat oksigen dan nutrisi yang cukup dan akan berlaku perkumuhan dan penyahintinjaan yang selesa.",1
"terbaik nuh. 👏👏",2
"dia selalu sedih dan suka marah, merajuk.",0
"hampir 2 bulan terapi.",1
"betul anak saya first time muntah semua lendir-lendir.",0
"sedikit pengalaman saya kongsikan bersama.",1
"sebelum ini saya berhentikan sekolah.",0
"nak suap makan pakai tangan dia tak nak sebab tak suka saya sentuh mulut dia.",0
"sebelum ini jenuh la nak bersilat dengan dia untuk potong rambut saja.",0
"kalau sebelum ini berkejaran dengan dia saja. 😂😂",0
"last week sekolah agama cikgu bagitahu paper sirah/akhlak dia dapat highest seluruh kelas 98.",2
"saya tanya pada teacher taska.",1
"deekshanya 💪",2
"done terapi tengah malam. 😅",1
"memang bab bermain amin belum pandai sangat.",0
"hariz dah masuk sesi ke-4.",1
"bagi saya dah happy sangat.",2
"tak sempat pagi, kul 11 pagi sampai pukul 3 petang balut dapat 4 jam.",1
"sekarang dah boleh makan pelbagai masakan berasaskan ayam, daging dan ikan.",2
"baru 6 sesi kalau tidak silap.",1
"lama betul tido malam tadi.",2
"sebelum ini pasif, tak suka berkawan.",0
"sebelum ini tengok nasi dia dah buat muka.",0
"dia dah banyak bertanya, apa yang dia nampak dia akan tanya 'bonda, what is this?'.",2
"tadi luthfi sejak 5/5/25 so far tak ada memanjat kerusi atau meja.",2
"sekarang saya pakai taktik balut kepala dulu saja, then 2nd round baru kepala dah tangan.",1
"personally tak nampak sangat significant changes selain daripada yang di atas.",1
"bagi saya dah happy sangat.",2
"banyak lagi perkembangan yang baik-baik, so kawan-kawan semua teruskan terapi ok. ✌️",2
"sebelum ini pegang buku pun tak mahu.",0
"awal pagi dan nak tidur je sempat buat sebab kerja.",1
"banyak relaks dia punya muscle tu.",2
"adam khalish sekarang macam jadi penyedih.",0
"assalamualaikum wbt.",1
"the eldest has a lot of words and can speak well.",2
"demam pun masuk ubat supp.",1
"next appointment jumpa doctor psychologist kerana dia ada masalah behaviour.",0
"izzuddin mula dari 22.02.2025.",1
"banyak bercakap dah sekarang.",2
"kat luar tak ada tantrum, ok sekarang.",2
"sebelum ini dia mengamuk, tak nak buka mulut, lari keluar.",0
"my son's name is al faiq. he has had his 7th therapy session.",1
"cuba buka tapi kita tak bagi.",1
"dan sekarang pandai dah nak rebut mainan dengan kakak dia. 🤭",2
"sudahnya mood kelaut kalau ditegur lagi.",0
"sebelum ini kalau siang wajib tidur dalam buaian, kalau tak tak tidur.",0
"belum lagi. cuma therapist nurul je tgh liae dgn saya.",1
"cikgu maklum ammar minta mask.",2
"semalam saya hanya buat 1 jam untuk setiap kali pakai.",1
"masih makan benda sama, telur dadar dan cupcake.",0
"sebelum ini selalu kata cepat lupa dan tak fokus dalam kelas.",0
"sebelum dia memang tak pernah tidur siang.",0
"sebelum ini semua masuk mulut.",0
"kadang bangun minta susu cuma tak sekerap sebelum ini.",2
"antara perubahan positif, alhamdulillah tantrum berkurang.",2
"sebelum ini selalu kata cepat lupa dan tak fokus dalam kelas.",0
"sebelum ini jenuh la nak bersilat dengan dia untuk potong rambut saja.",0
"parents, at least you need to go for consultation if your child shows symptoms of speech delay that may bleed to autism.",1
"doktor terkejut dengan perubahan cara kerja ammar.",2
"sebelum ini dia mengamuk, tak nak buka mulut, lari keluar.",0
"kalau sugar tinggi habis semua orang dia kacau.",0
"alhamdulillah, tahniah ibu dan ayah aqib sebab konsisten buat terapi di rumah. 👏",2
"selain itu, kalau dulu susah sangat tidur malam.",0
"sebelum ini kalau siang wajib tidur dalam buaian, kalau tak tak tidur.",0
"sekarang saya pakai taktik balut kepala dulu saja, then 2nd round baru kepala dah tangan.",1
"sekarang saya pakai taktik balut kepala dulu saja, then 2nd round baru kepala dah tangan.",1
"tapi selalu dapat full markah dalam setiap subject.",2
"now at the infrared level.",1
"perkara yang memang tak pernah ammar nak buat dan akan koyakkan mask kalau disuruh pakai sebelum ini.",2
"kalau tak sebelum ini memang tak fokus tunjuk apa dalam buku itu, langsung tak nak tengok.",0
"dengar kuliah daddy. 🤍",2
"not extravagant.",2
"masih makan benda sama, telur dadar dan cupcake.",0
"sebelum ini jenuh la nak bersilat dengan dia untuk potong rambut saja.",0
"khareef aanaqi.",1
"alhamdulillah, anak saya dah pandai main gelongsor seorang diri tanpa perlu bantuan ayahnya.",2
"the place is comfortable, the therapist's service is good and the children are comfortable.",2
"cuma masih tak nak makan nasi.",0
"anak saya ahmad ali jenis sangat aktif, tak pernah day nap, selalu tido malam je.",0
"zayyan dah semakin tenang, tidak lagi main baling-baling batu bila di kampung.",2
"salam maaf, terlepas untuk update.",1
"balutan kedua uwais.",1
"memang macam trauma sangat lah.",0
"tu yang skip lama, nak mula balik.",1
"eye contact makin kerap.",2
"selepas terapi danyashree pandai pegang barang, sekarang dah swimming pun dah ok.",2
"jadi itu yang dia marah bila saya tak bagi.",0
"alhamdulillah balutan saya setiap malam konsisten walaupun dia mengamuk-amuk nak pakai.",2
"sebelum ini hanya makan nasi berlaukkan sup ayam, kadang makan nasi hanya 2 hari sekali.",0
"punya lama lah mama tunggu dia bye-bye.",1
"baik ustaz, saya usahakan.",1
"macam itu juga dengan air, asyik nak suruh order chagee saja.",0
"dia pandai bertenang.",2
"kalau sugar tinggi habis semua orang dia kacau.",0
"sudahnya tak lama lagi mahu spm.",1
"berjaya tukar cara pemakanan dia dari processed food kepada real food.",2
"both children have autism.",1
"jenuh dah bersilat maknya baru nak sihat.",0
"alhamdulillah, umar haidar makan sendiri dah, banyak perubahan.",2
"personally tak nampak sangat significant changes selain daripada yang di atas.",1
"sabtu lepas jiran buat bbq, dia boleh bermain bola dengan anak-anak jiran dari 6:30 petang hingga 11:30 malam.",2
"sebelum ini bila suap makan dia kemam lama.",0
"tak ada silat-silat time balut tangan, dia dah lelap.",2
"sebelum ini saya berhentikan sekolah.",0
"sekarang dekat 4–5 kali cakap lapar.",1
"ari ini terapikan sekali kakaknya.",1
"saya ada tanya cikgu perlu ke saya tukarkan sekolah luthfi kepada sekolah khas untuk kanak-kanak yang ada development issue, sebab sekarang luthfi sekolah government biasa.",1
"yang kurang, masa urut dan balut masih perlu tengok handphone untuk duduk diam.",0
"dan satu lagi, dia sekarang ini sangat-sangat manja dengan daddy dia.",2
"kalau nak tidur pun masuk jam 3–4 pagi baru nak tidur.",0
"bila peluh keluar, menandakan badan panas disebabkan aliran darah cantik.",1
"sebelum ini semua masuk mulut.",0
"sebelum therapy balut ini dia akan tidur lewat dalam 12:30 ke 1 pagi.",0
"semalam saya hanya buat 1 jam untuk setiap kali pakai.",1
"limited sangat cara bermain katanya.",0
"now at the infrared level.",1
"hai manisha...",1
"setelah itu, bermulalah fasa terapi balut tangan pula yang mana permulaannya memang amat mencabar untuk balut.",0
"dengan rela hati buka mulut. sebelum ini dia mengamuk, tak nak buka mulut, lari keluar.",2
"semoga ada perkembangan yang baik-baik selepas ini. 🙌💪🙏",2
"ok, alhamdulillah semua dah sembuh dan pulih.",2
"wah bagusnya ada peningkatan.",2
"adam khalish sekarang macam jadi penyedih.",0
"tapi buat masa sekarang kami buat yang termampu.",1
"sebelum ini dia berani.",0
"assalamualaikum ustaz, nak share kalau tak isaac memang tak pandai nak main block ini.",0
"eye contact: kalau sebelum ini buat apa pun dia tak akan bagi respon.",0
"dah boleh main sama-sama ke, boleh duduk diam ke.",1
"sudahnya mood kelaut kalau ditegur lagi.",0
"assalamualaikum ustaz, saya khairul ayah kepada eewan.",1
"lega mama.",2
"rasanya yang kedua masih mencabar.",0
"yang kurang, masa urut dan balut masih perlu tengok handphone untuk duduk diam.",0
"alhamdulillah la, sekarang umar haidar dah tak berapa nak gila dengan remote, tak ada dah nak menangis kalau tak dapat remote tv.",2
"semoga asbab terapi ini dapat membantu ammar untuk dapat perubahan positif lagi.",2
"sebelum ini allah je tahu susahnya nak bagi dia ubat sebab dia menangis dan sembur habis ubat.",0
"next appointment jumpa doctor psychologist kerana dia ada masalah behaviour.",0
"dari segi fokus dan membaca improve.",2
"saya tanya pada teacher taska.",1
"sebelum ini semua masuk mulut.",0
"walaupun masih ada merayau sikit kat school.",0
"january 2024 berhenti tahfiz, bawa balik start sekolah sk dan sra masuk tahun 6.",1
"kalau dulu kena marah dia buat tak tahu saja.",0
"sekarang minatnya sangat suka dibacakan buku cerita.",2
"sebelum ini dia langsung tak pandai dan tak berani main swing, melompat dan bergayut.",0
"hopefully, everything will be made easier for him while undergoing therapy here.",2
"cuma pergerakkan dia masih tak boleh control.",0
"mula-mula langsung tak bagi balut kepala masa terapi pertama.",0
"main bola dia pandai, jadi doktor suruh fokus untuk main bola.",2
"anak saya aqeela dah buat terapi almost 4 month.",1
"di sekolah luthfi setiap pagi ada outdoor activity berjalan, selalu dia akan berlari.",0
"kalau nak tidur pun masuk jam 3–4 pagi baru nak tidur.",0
"hasilnya organ semua mendapat oksigen dan nutrisi yang cukup dan akan berlaku perkumuhan dan penyahintinjaan yang selesa.",1
"i am very satisfied, best of luck.",2
"dari mula kenal izz di ppki dia selalu warna ikut suka hati.",0
"dua tiga hari ini dia dah try makan nasi.",2
"bila dah buat terapi, otak dah memproses dan menghantar signal ke seluruh sistem badan seperti sistem kardiovaskular, sistem endokrin, sistem limpatik.",1
"alhamdulillah terbaik puan, hasil konsisten terapi, jaga pemakanan dia dan detox badan. tahniah puan. 🙌",2
"tiap kali ambil balik sekolah dapat pujian dari cikgu.",2
"cuma cara bercakap kadang-kadang macam baby, tapi xpelat lagi.",0
"selain itu, kalau dulu susah sangat tidur malam.",0
"sebelum masuk terapi merangkak pun tak boleh.",0
"alhamdulillah, sebelum ini saya ada bagitahu ustaz, kalau ummar kayuh basikal dia tak dapat kayuh dalam bulatan penuh.",0
"cuma paper cikgu ambil balik.",1
"sebelum ini kalau bawa pijak rumput mesti menangis kuat.",0
"betul.",1
"ni ha rehat sungguh.",2
"sebelum ini dia berani.",0
"di sekolah tulis lambat, di rumah ok saja.",1
"wahhh terer ni baru start dah ada emosi dan awareness.",2
"dia cuba sampaikan sesuatu sambil menahan sedih, kadang sampai menitis air mata.",0
"sebelum ini saya berhentikan sekolah.",0
"jumpa doctor di hta around april 2023, diagnosed as autism.",1
"ajak baca doa, sekali tengok eh dah lelap dah.",2
"tak pernah buat macam tu, selalu tarik dengan nak sesuatu.",0
"my son's name is al faiq. he has had his 7th therapy session.",1
"sebelum ini nak jumpa doktor kena bersilat, nampak klinik atau hospital terus tak nak masuk.",0
"kalau sebelum ini setiap malam bangun menangis. 🥺",0
"masuk yang ketiga, dia sendiri bagi kepala untuk balut dan paling lama bertahan adalah 3 jam.",2
"balutan kedua uwais.",1
"alhamdulillah uwais dah berselera makan, selepas 4 bulan takde selera makan. 🙌",2
"buat aktiviti pun ok nak join macam kawan-kawan lain.",2
"pengeluaran hormon akan jadi lebih stabil.",1
"syukur selalu.",2
"9 tahun.",1
"sebelum ini nak jumpa doktor kena bersilat, nampak klinik atau hospital terus tak nak masuk.",0
"alhamdulillah allah swt brought us together with neurospa therapy.",2
"kalau sugar tinggi habis semua orang dia kacau.",0
"ada masa sehari sekali, tengok mood.",1
"ni disebabkan proses perubahan ke?",1
"dia suka memanjat meja dan kerusi.",0
"sebelum ini dia berani.",0
"hai ammar. 🥰",2
"result sekolah agama syuhada.",1
"terapi malam: 5:30 petang ke 7:30 malam.",1
"tantrum tu takde sangat dah, bila tantrum boleh pujuk.",2
"mula-mula langsung tak bagi balut kepala masa terapi pertama.",0
"pegawai terapi cakap boleh duduk lama di meja dalam 20 minit.",2
"selalunya tidur lambat, aktif sangat main.",1
"jenuh dah bersilat maknya baru nak sihat.",0
"hafiy eshan hari ini masuk sesi 5.",1
"di sekolah tulis lambat, di rumah ok saja.",1
"terima kasih neuro spa.",2
"asyik nak bergerak.",0
"ustaz, anak saya dah nampak kesan positif.",2
"hehe, dia selera orang tua ustaz, tak pedas dia tak selera makan. 😂",1
"terapi malam: 5:30 petang ke 7:30 malam.",1
"malam pun tidur makin lena dan jarang terjaga minta susu.",2
"assalamualaikum, nak share perkembangan positive.",2
"sebelum ini semua masuk mulut.",0
"rendaman: 4:30 petang ke 5 petang.",1
"tahniah.",2
"alhamdulillah, sebelum ini saya ada bagitahu ustaz, kalau ummar kayuh basikal dia tak dapat kayuh dalam bulatan penuh.",0
"sebelum ini tak nak makan nasi, asyik nak bubur.",0
"maxkan 3 jam sehari.",1
"sebelum ini dia cakap juga lapar tapi sehari 1–2 kali saja.",1
"saya tanya pada teacher taska.",1
"kekadang boleh divert attention dia untuk lengkapkan sejam, adakala dia akan nangis sampai buka balutan, adakala pada masa awal-awal tu buka saja balutan bila dia nangis lama sangat.",0
"sebelum ini jenuh la nak bersilat dengan dia untuk potong rambut saja.",0
"memang bab bermain amin belum pandai sangat.",0
"alhamdulillah, faiq has changed.",2
"perkembangan hafiy eshan selama 13 sesi bersama nst.",2
"sebelum ini hanya makan nasi berlaukkan sup ayam, kadang makan nasi hanya 2 hari sekali.",0
"bila pergi rumah pengasuh tak menangis dah dalam 3 minggu ini.",2
"alhamdulillah setakat ini nampak perubahan positif.",2
"feedback dari sekolah:",1
"sekarang dekat 4–5 kali cakap lapar.",1
"agak struggle buat urutan dalam kereta, tak nak bagi kerjasama.",1
"punya lama lah mama tunggu dia bye-bye.",1
"sebelum ini dia selalu hanya makan nasi dengan ikan, ayam dan telur dadar saja.",0
"salam, tahniah. 💪💪💪",2
"dah pandai pergi toilet sendiri.",2
"boleh duduk sejam atas kerusi.",2
"alhamdulillah, the cheapest place in town.",2
"papa dia suruh saya tengok ummar kayuh basikal macam mana.",1
"komen cikgu izz di sekolah.",1
"bagus boleh tidur lena.",2
"salam maaf, terlepas untuk update.",1
"sebelum ini bila suap makan dia kemam lama.",0
"salam dan selamat malam.",1
"alhamdulillah, dah tak pelat.",2
"salam, hai semua. 👋👋👋",2
"salam, baru dapat terapi, baru balik dari temujanji cara kerja di hospital.",1
"kurang tantrum.",2
"salam, baru dapat terapi, baru balik dari temujanji cara kerja di hospital.",1
"dah kurang laskar.",2
"both children have autism.",1
"result sekolah agama syuhada.",1
"semalam saya hanya buat 1 jam untuk setiap kali pakai.",1
"belum lagi. cuma therapist nurul je tgh liae dgn saya.",1
"delicious and satisfying and good service.",2
"amin dah nak makan buah oren ini.",2
"nak suap makan pakai tangan dia tak nak sebab tak suka saya sentuh mulut dia.",0
"boleh memahami arahan dengan lebih baik. 😊",2
"cikgu beritahu luthfi banyak sangat perubahan daripada buat hal sendiri, sekarang dah mula bergaul dengan kawan-kawan.",2
"hari khamis lepas, adeeb jumpa occupational therapy under hospital government.",1
"both children have autism.",1
"kami bawa suffi ke therapist centre untuk check.",1
"cikgu dia cakap dia dah rajin buat kerja, bacaan pun banyak improve alhamdulillah.",2
"sekarang ini dia sekali dua panggil sudah menoleh.",2
"kalini alhamdulillah boleh makan ubat batuk.",2
"betul anak saya first time muntah semua lendir-lendir.",0
"alhamdulillah beransur pulih cuma tinggal batuk-batuk sikit.",2
"makan: lebih berselera dan dah boleh terima sayur. 🙌",2
"feedback dari sekolah:",1
"dia dah ada eye contact.",2
"kalau sebelum ini berkejaran dengan dia saja. 😂😂",0
"kekadang boleh divert attention dia untuk lengkapkan sejam, adakala dia akan nangis sampai buka balutan, adakala pada masa awal-awal tu buka saja balutan bila dia nangis lama sangat.",0
"nak tanya sikit, saya dah hampir 2 minggu terapi.",1
"sebelum ini allah je tahu susahnya nak bagi dia ubat sebab dia menangis dan sembur habis ubat.",0
"hehe, dia selera orang tua ustaz, tak pedas dia tak selera makan. 😂",1
"kalau malam pukul 9 mata dia dah kuyu.",2
"kekadang boleh divert attention dia untuk lengkapkan sejam, adakala dia akan nangis sampai buka balutan, adakala pada masa awal-awal tu buka saja balutan bila dia nangis lama sangat.",0
"cuba buka tapi kita tak bagi.",1
"dari kecik sampai sekarang makan bubur.",0
"dengan rela hati buka mulut.",2
"personally tak nampak sangat significant changes selain daripada yang di atas.",1
"speech semakin lancar walaupun belum gabung ayat.",2
"haaa bagus tu puan. 👍👍😊",2
"harini first time lepas dia rendam air garam, dia cirit sampai tak sempat ke toilet.",0
"yer betul.",1
"menjadi seorang yang sangat cergas dan explore semua benda.",2
"saja sharing perkembangan anak.",1
"tunggu dia bangun nak sarapan mandi, pastu baru buat urutan.",1
"masuk minggu ketiga urutan dekat leher dengan mulut dia.",1
"harini boleh buat lagi.",2
"macam itu juga dengan air, asyik nak suruh order chagee saja.",0
"sebuah sudah buat balutan.",1
"saya bagi dia mewarna sebab subjek mewarna dan melukis dia memang tak minat.",0
"pengeluaran hormon akan jadi lebih stabil.",1
"sebelum ini nak jumpa doktor kena bersilat, nampak klinik atau hospital terus tak nak masuk.",0
"kadang dia nak sesuatu tu dia cakap dekat saya sambil nangis.",0
"balutan kedua uwais.",1
"alhamdulillah adik fahaira sesi 10 hari ini.",2
"masih makan benda sama, telur dadar dan cupcake.",0
"sebelum ini tak nak makan nasi, asyik nak bubur.",0
"assalamualaikum, saya just nak share.",1
"since syuhada received therapy here, there have been many changes.",2
"jadi itu yang dia marah bila saya tak bagi.",0
"masih makan benda sama, telur dadar dan cupcake.",0
"dah ada perkembangan positif pada nadim.",2
"alhamdulillah pagi ini.",2
"memang macam trauma sangat lah.",0
"di sekolah luthfi setiap pagi ada outdoor activity berjalan, selalu dia akan berlari.",0
"11th session with both children. lots of positive developments.",2
"wowww superb.",2
"jadi itu yang dia marah bila saya tak bagi.",0
"9 tahun.",1
"alhamdulillah rayyan yusuff lebih behave.",2
"sekarang mudah sangat nak tidur jam 9 dan tidur nyenyak.",2
"setelah itu, bermulalah fasa terapi balut tangan pula yang mana permulaannya memang amat mencabar untuk balut.",0
"sebelum ini tak nak makan nasi, asyik nak bubur.",0
"sebelum ini kalau siang wajib tidur dalam buaian, kalau tak tak tidur.",0
"anak saya ahmad ali jenis sangat aktif, tak pernah day nap, selalu tido malam je.",0
"sebelum ini anaqi seorang yang diam tak bergerak, asyik baring saja.",0
"terima kasih.",2
"ammar juga telah mula mengambil pelbagai jenis makanan, yang selama ini ammar agak memilih makanan.",2
"limited sangat cara bermain katanya.",0
"antara peningkatan yang saya nampak, umar lebih cepat respon bila dipanggil.",2
"hampir 2 bulan terapi.",1
"biasa kalau makanan ini susah nak ubah.",2
"hasilnya organ semua mendapat oksigen dan nutrisi yang cukup dan akan berlaku perkumuhan dan penyahintinjaan yang selesa.",1
"sebelum ini bila suap makan dia kemam lama.",0
"ada sahabat tempat kerja saya terserempak dengan ammar di sekolah yang tahu situasi ammar.",1
"ia terjadi pada anak saya juga pada mulanya positive to negative behavior 2-3 hari gitu.",0
"izzuddin mula dari 22.02.2025.",1
"hariz dah masuk sesi ke-4.",1
"memang bab bermain amin belum pandai sangat.",0
"umur dah berapa tahun.",1
"cuma paper cikgu ambil balik.",1
"sebelum ini selalu kata cepat lupa dan tak fokus dalam kelas.",0
"lepas balutan kali keempat suffi agak grumpy, tantrum tak nak dibalut.",0
"kemudian saya stop ot, saya buat rawatan di neurotherapy dan hantar playschool.",1
"tepuk tangan, terbaik semua. 👏👏",2
"hai manisha...",1
"alhamdulillah, syukur.",2
"anak dah masuk sesi ke-7.",1
"anak saya ahmad ali jenis sangat aktif, tak pernah day nap, selalu tido malam je.",0
"sekarang dekat 4–5 kali cakap lapar.",1
"dari mula sampai habis boleh serileks ini.",2
"sangat takut potong rambut.",0
"eye contact: kalau sebelum ini buat apa pun dia tak akan bagi respon.",0
"harini first time lepas dia rendam air garam, dia cirit sampai tak sempat ke toilet.",0
"tapi normal kan.",1
"buat therapy sebab susah nak makan, tak nak makan langsung.",0
"dia boleh duduk dan keluarkan guli yang bercampur dengan slime satu-satu.",2
"ia terjadi pada anak saya juga pada mulanya positive to negative behavior 2-3 hari gitu.",0
"syiffa'a terapi sesi pagi.",1
"terapi balutan tangan di pusat rawatan.",1
"ni disebabkan proses perubahan ke?",1
"dia suka memanjat meja dan kerusi.",0
"balutan hari ke-5.",1
"semua ini dapat bertahan dalam 30-40 minit, selepas itu, affan akan tak senang duduk dan suruh buka.",0
"boleh lah nak ajak gaduh.",2
"nak makan yang dia nak saja.",0
"yer betul.",1
"syiffa'a terapi sesi pagi.",1
"sambung tido lagi kat rumah. 😄",2
"bahasa arab dia tahu jaddun atok, jaddatun nenek.",2
"memang macam trauma sangat lah.",0
"hai, nak share before terapi isa mateen kelas bulan july, still tak fokus dan tak faham apa teacher minta.",0
"hai, nak share before terapi isa mateen kelas bulan july, still tak fokus dan tak faham apa teacher minta.",0
"kalau nak tidur pun masuk jam 3–4 pagi baru nak tidur.",0
"anak saya aqeela dah buat terapi almost 4 month.",1
"dapat balut masa tidur saja.",1
"sebelum ini allah je tahu susahnya nak bagi dia ubat sebab dia menangis dan sembur habis ubat.",0
"dapat tidur petang, tak meragam cari fon.",2
"betul anak saya first time muntah semua lendir-lendir.",0
"masih makan benda sama, telur dadar dan cupcake.",0
"eye contact makin baik.",2
"hariz dah masuk sesi ke-4.",1
"syukur alhamdulillah.",2
"cuma masih tak nak makan nasi.",0
"salam maaf, terlepas untuk update.",1
